Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Seconds)
256x256,3,1,1,
256x256,3,1,2,
256x256,3,1,3,
256x256,3,1,4,
256x256,3,1,5,
256x256,3,1,6,
256x256,3,1,7,
256x256,3,1,8,
256x256,3,1,9,
256x256,3,1,10,
256x256,3,1,11,
256x256,3,1,12,
256x256,3,1,13,
256x256,3,1,14,
256x256,3,1,15,
256x256,3,1,16,
256x256,3,1,17,
256x256,3,1,18,
256x256,3,1,19,
256x256,3,1,20,
256x256,3,1,21,
256x256,3,1,22,
256x256,3,1,23,
256x256,3,1,24,
256x256,3,1,25,
256x256,3,1,26,
256x256,3,1,27,
256x256,3,1,28,
256x256,3,1,29,
256x256,3,1,30,
256x256,3,1,31,
256x256,3,1,32,
256x256,3,1,33,
256x256,3,1,34,
256x256,3,1,35,
256x256,3,1,36,
256x256,3,1,37,
256x256,3,1,38,
256x256,3,1,39,
256x256,3,1,40,
256x256,3,1,41,
256x256,3,1,42,
256x256,3,1,43,
256x256,3,1,44,
256x256,3,1,45,
256x256,3,1,46,
256x256,3,1,47,
256x256,3,1,48,
256x256,3,1,49,
256x256,3,1,50,
256x256,3,1,51,
256x256,3,1,52,
256x256,3,1,53,
256x256,3,1,54,
256x256,3,1,55,
256x256,3,1,56,
256x256,3,1,57,
256x256,3,1,58,
256x256,3,1,59,
256x256,3,1,60,
256x256,3,1,61,
256x256,3,1,62,
256x256,3,1,63,
256x256,3,1,64,
256x256,3,1,65,
256x256,3,1,66,
256x256,3,1,67,
256x256,3,1,68,
256x256,3,1,69,
256x256,3,1,70,
256x256,3,1,71,
256x256,3,1,72,
256x256,3,1,73,
256x256,3,1,74,
256x256,3,1,75,
256x256,3,1,76,
256x256,3,1,77,
256x256,3,1,78,
256x256,3,1,79,
256x256,3,1,80,
256x256,3,1,81,
256x256,3,1,82,
256x256,3,1,83,
256x256,3,1,84,
256x256,3,1,85,
256x256,3,1,86,
256x256,3,1,87,
256x256,3,1,88,
256x256,3,1,89,
256x256,3,1,90,
256x256,3,1,91,
256x256,3,1,92,
256x256,3,1,93,
256x256,3,1,94,
256x256,3,1,95,
256x256,3,1,96,
256x256,3,1,97,
256x256,3,1,98,
256x256,3,1,99,
256x256,3,1,100,
256x256,3,1,1,
256x256,3,1,2,
256x256,3,1,3,
256x256,3,1,4,
256x256,3,1,5,
256x256,3,1,6,
256x256,3,1,7,
256x256,3,1,8,
256x256,3,1,9,
256x256,3,1,10,
256x256,3,1,11,
256x256,3,1,12,
256x256,3,1,13,
256x256,3,1,14,
256x256,3,1,15,
256x256,3,1,16,
256x256,3,1,17,
256x256,3,1,18,
256x256,3,1,19,
256x256,3,1,20,
256x256,3,1,21,
256x256,3,1,22,
256x256,3,1,23,
256x256,3,1,24,
256x256,3,1,25,
256x256,3,1,26,
256x256,3,1,27,
256x256,3,1,28,
256x256,3,1,29,
256x256,3,1,30,
256x256,3,1,31,
256x256,3,1,32,
256x256,3,1,33,
256x256,3,1,34,
256x256,3,1,35,
256x256,3,1,36,
256x256,3,1,37,
256x256,3,1,38,
256x256,3,1,39,
256x256,3,1,40,
256x256,3,1,41,
256x256,3,1,42,
256x256,3,1,43,
256x256,3,1,44,
256x256,3,1,45,
256x256,3,1,46,
256x256,3,1,47,
256x256,3,1,48,
256x256,3,1,49,
256x256,3,1,50,
256x256,3,1,51,
256x256,3,1,52,
256x256,3,1,53,
256x256,3,1,54,
256x256,3,1,55,
256x256,3,1,56,
256x256,3,1,57,
256x256,3,1,58,
256x256,3,1,59,
256x256,3,1,60,
256x256,3,1,61,
256x256,3,1,62,
256x256,3,1,63,
256x256,3,1,64,
256x256,3,1,65,
256x256,3,1,66,
256x256,3,1,67,
256x256,3,1,68,
256x256,3,1,69,
256x256,3,1,70,
256x256,3,1,71,
256x256,3,1,72,
256x256,3,1,73,
256x256,3,1,74,
256x256,3,1,75,
256x256,3,1,76,
256x256,3,1,77,
256x256,3,1,78,
256x256,3,1,79,
256x256,3,1,80,
256x256,3,1,81,
256x256,3,1,82,
256x256,3,1,83,
256x256,3,1,84,
256x256,3,1,85,
256x256,3,1,86,
256x256,3,1,87,
256x256,3,1,88,
256x256,3,1,89,
256x256,3,1,90,
256x256,3,1,91,
256x256,3,1,92,
256x256,3,1,93,
256x256,3,1,94,
256x256,3,1,95,
256x256,3,1,96,
256x256,3,1,97,
256x256,3,1,98,
256x256,3,1,99,
256x256,3,1,100,
256x256,3,2,1,
256x256,3,2,2,
256x256,3,2,3,
256x256,3,2,4,
256x256,3,2,5,
256x256,3,2,6,
256x256,3,2,7,
256x256,3,2,8,
256x256,3,2,9,
256x256,3,2,10,
256x256,3,2,11,
256x256,3,2,12,
256x256,3,2,13,
256x256,3,2,14,
256x256,3,2,15,
256x256,3,2,16,
256x256,3,2,17,
256x256,3,2,18,
256x256,3,2,19,
256x256,3,2,20,
256x256,3,2,21,
256x256,3,2,22,
256x256,3,2,23,
256x256,3,2,24,
256x256,3,2,25,
256x256,3,2,26,
256x256,3,2,27,
256x256,3,2,28,
256x256,3,2,29,
256x256,3,2,30,
256x256,3,2,31,
256x256,3,2,32,
256x256,3,2,33,
256x256,3,2,34,
256x256,3,2,35,
256x256,3,2,36,
256x256,3,2,37,
256x256,3,2,38,
256x256,3,2,39,
256x256,3,2,40,
256x256,3,2,41,
256x256,3,2,42,
256x256,3,2,43,
256x256,3,2,44,
256x256,3,2,45,
256x256,3,2,46,
256x256,3,2,47,
256x256,3,2,48,
256x256,3,2,49,
256x256,3,2,50,
256x256,3,2,51,
256x256,3,2,52,
256x256,3,2,53,
256x256,3,2,54,
256x256,3,2,55,
256x256,3,2,56,
256x256,3,2,57,
256x256,3,2,58,
256x256,3,2,59,
256x256,3,2,60,
256x256,3,2,61,
256x256,3,2,62,
256x256,3,2,63,
256x256,3,2,64,
256x256,3,2,65,
256x256,3,2,66,
256x256,3,2,67,
256x256,3,2,68,
256x256,3,2,69,
256x256,3,2,70,
256x256,3,2,71,
256x256,3,2,72,
256x256,3,2,73,
256x256,3,2,74,
256x256,3,2,75,
256x256,3,2,76,
256x256,3,2,77,
256x256,3,2,78,
256x256,3,2,79,
256x256,3,2,80,
256x256,3,2,81,
256x256,3,2,82,
256x256,3,2,83,
256x256,3,2,84,
256x256,3,2,85,
256x256,3,2,86,
256x256,3,2,87,
256x256,3,2,88,
256x256,3,2,89,
256x256,3,2,90,
256x256,3,2,91,
256x256,3,2,92,
256x256,3,2,93,
256x256,3,2,94,
256x256,3,2,95,
256x256,3,2,96,
256x256,3,2,97,
256x256,3,2,98,
256x256,3,2,99,
256x256,3,2,100,
256x256,3,4,1,
256x256,3,4,2,
256x256,3,4,3,
256x256,3,4,4,
256x256,3,4,5,
256x256,3,4,6,
256x256,3,4,7,
256x256,3,4,8,
256x256,3,4,9,
256x256,3,4,10,
256x256,3,4,11,
256x256,3,4,12,
256x256,3,4,13,
256x256,3,4,14,
256x256,3,4,15,
256x256,3,4,16,
256x256,3,4,17,
256x256,3,4,18,
256x256,3,4,19,
256x256,3,4,20,
256x256,3,4,21,
256x256,3,4,22,
256x256,3,4,23,
256x256,3,4,24,
256x256,3,4,25,
256x256,3,4,26,
256x256,3,4,27,
256x256,3,4,28,
256x256,3,4,29,
256x256,3,4,30,
256x256,3,4,31,
256x256,3,4,32,
256x256,3,4,33,
256x256,3,4,34,
256x256,3,4,35,
256x256,3,4,36,
256x256,3,4,37,
256x256,3,4,38,
256x256,3,4,39,
256x256,3,4,40,
256x256,3,4,41,
256x256,3,4,42,
